subclass,question_clean,clarifying_question_clean,predict_clarifying_question_clean,predict_ambiguous,require_clarification,uncertainty_type
ICL,"The all possible word categories are either ""religious leader"" or ""male pronoun"". The following two examples share a specific word category. You need to first infer the specific word category from the examples. Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category. Examples: She is in the museum with the CEO. He is in the house with the deacon. The Given Sentence: He is in the restaurant with the colonel.",Is the category either religious leader or male pronoun?,What is the specific word category that the given sentence should mention or not mention?,0,1,epistemic
ICL,"Please output ""X"" if the given sentence contains a word of ""outdoor location"". Please output ""Y"" if the given sentence does not contain any word of ""outdoor location"". Examples: The mountain lion is in the pond.(Output: X) The photographer is in the film studio.(Output: Y) The Given Sentence: The hawk is in the theatre.",,"Can a word be considered an ""outdoor location"" if it refers to a specific outdoor area or does it have to be a general term for an outdoor location?",0,0,unclear
ICL,"The all possible word categories are either ""contains a negation"" or ""common noun"". The following two examples share a specific word category. You need to first infer the specific word category from the examples. Please output ""X"" if the given sentence mentions the specific word category. Please output ""Y"" if the given sentence does not mention the word category. Examples: Hermione Granger could be in the laboratory. The photographer was not in the restaurant. The Given Sentence: Noam Chomsky has not been in the hotel lobby.",Is the category either contains a negation or common noun?,"Is the specific word category ""contains a negation"" or ""common noun""?",0,1,unclear
ICL,"Please output ""X"" if the given sentence contains a word of ""female pronoun"". Please output ""Y"" if the given sentence does not contain any word of ""female pronoun"". Examples: He is in the museum with the pope.(Output: Y) She is in the restaurant with the prime minister.(Output: X) The Given Sentence: She is in the hotel lobby with the imam.",,"What is considered a ""female pronoun"" in this context?",0,0,epistemic
polysemy,"Who is a cast member on the Netflix series ""Lupin""?",,"Could you please specify if you are looking for the current cast members or the cast members from a specific season of the show ""Lupin"" on Netflix?",0,0,preferential
polysemy,What is the current record label for Textures?,,What is the current record label for Textures?,0,0,epistemic
polysemy,What is the meaning of Exclusive?,Are you referring to the term 'Exclusive' in the context of a product or a news story?,"Could you please clarify what you mean by ""Exclusive""?",0,1,epistemic
polysemy,Who is the author of the novel Macunaima?,,"Can you please clarify which novel you are referring to when you mention ""Macunaima""?",0,0,aleatoric
co-reference,Matthew emailed Joshua because he had a story to tell. Who had a story to tell?,,"Who is ""he"" referring to in the sentence?",1,0,unclear
co-reference,The sister-in-law bought Amanda a drink after she begged her to do so. Who begged her to do so?,,"Who is referred to as ""she"" in the sentence?",1,0,unclear
co-reference,Matthew emailed Joshua because he wanted to get some clarification. Who wanted to get some clarification?,,"Who is ""he"" referring to in the sentence?",0,0,unclear
co-reference,Matthew built Joshua a house after he returned from the army. Who returned from the army?,What does he refer to? Matthew or Joshua?,Did Matthew or Joshua return from the army?,1,1,unclear
