id,difficulty,correct_option,is_correct_preliminary,is_correct_1,is_correct_2,is_correct_final,preliminary_confidence,confidence_1,confidence_2,final_confidence,cq1_type,cq2_type,cq3_type
medqa_0758,hard,D,True,True,True,True,15,85,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0451,easy,D,True,True,True,True,15,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0050,easy,D,True,True,True,True,95,100,100,100,ALEATORIC,EPISTEMIC,EPISTEMIC
medqa_1119,medium,D,False,True,True,True,35,85,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0222,easy,C,True,True,True,True,85,80,65,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0206,easy,C,True,True,True,True,95,100,100,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1134,easy,A,False,False,True,True,65,75,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0322,medium,C,False,False,False,False,70,60,60,60,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0951,medium,C,False,False,True,True,85,80,90,95,ALEATORIC,EPISTEMIC,EPISTEMIC
medqa_0208,easy,B,False,False,True,True,0,30,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0872,medium,C,False,True,True,True,60,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0507,hard,D,False,True,True,True,60,90,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0681,medium,B,True,True,True,True,90,95,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0344,hard,A,False,True,True,True,40,80,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0807,hard,A,True,True,True,True,70,90,95,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0889,medium,A,True,True,True,True,60,75,80,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1050,medium,C,True,True,True,True,95,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0943,easy,D,True,True,True,True,90,95,98,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0896,easy,D,True,True,True,True,65,70,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0052,easy,D,True,True,True,True,90,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0607,easy,C,True,True,True,True,40,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1182,easy,A,True,True,True,True,90,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0410,easy,C,False,False,True,True,50,80,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1164,medium,A,False,False,False,False,45,70,80,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0467,hard,D,True,True,True,True,70,70,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0610,medium,A,True,True,True,True,95,98,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0627,hard,C,False,False,True,True,60,70,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0702,medium,C,True,True,True,True,75,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0552,hard,A,False,False,False,False,35,40,85,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0258,medium,D,True,False,False,True,20,60,75,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0711,easy,C,True,True,True,True,75,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0128,medium,A,False,True,True,True,45,70,75,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1158,hard,D,True,True,True,True,90,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0138,easy,B,True,True,True,True,90,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0529,easy,B,True,True,True,True,75,75,75,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0770,easy,B,False,False,True,True,40,60,90,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0569,hard,B,False,False,False,False,85,90,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1077,hard,A,True,True,True,True,90,98,99,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0857,easy,C,True,True,True,True,5,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1083,easy,A,True,False,False,False,40,75,85,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0025,easy,D,True,True,True,True,45,90,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0324,medium,A,False,False,True,True,25,65,85,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1125,easy,C,True,True,True,True,75,90,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0088,hard,C,False,True,True,True,30,75,90,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0749,easy,C,False,False,False,False,55,85,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1081,easy,D,True,True,True,True,65,90,95,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0381,medium,C,True,True,True,True,60,70,75,80,ALEATORIC,EPISTEMIC,EPISTEMIC
medqa_1172,easy,D,True,True,True,True,70,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0932,easy,D,False,False,False,False,50,60,60,70,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1063,easy,D,True,True,True,True,95,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0885,hard,C,False,False,False,False,45,90,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0458,easy,C,False,False,False,False,70,90,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1212,easy,B,True,True,True,True,70,85,85,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0920,easy,A,False,False,False,False,40,60,80,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0334,easy,B,True,True,True,True,95,95,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0393,easy,A,True,True,True,True,70,80,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1171,hard,C,True,True,True,True,80,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0628,medium,C,True,True,True,True,20,75,85,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1269,hard,D,False,False,False,False,65,75,75,75,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0099,easy,B,True,True,True,True,95,98,99,100,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0207,easy,A,True,True,True,True,90,90,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0912,medium,B,True,True,True,True,75,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0423,hard,D,True,True,True,True,70,75,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0863,medium,A,False,False,False,True,30,10,20,30,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1198,medium,B,True,False,False,False,85,90,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1216,hard,A,False,False,True,True,40,60,70,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0989,medium,B,False,False,False,True,60,70,65,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0682,medium,D,True,True,True,True,15,80,90,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0278,easy,A,True,False,True,False,15,75,85,90,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0983,easy,C,False,True,True,True,60,90,95,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0620,easy,C,False,False,False,False,70,95,98,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_1097,easy,C,False,False,False,False,30,60,75,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0732,medium,B,False,False,True,True,55,70,80,95,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0028,hard,D,True,True,True,True,65,95,98,99,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0644,medium,B,False,False,True,True,0,0,50,65,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0400,medium,B,False,False,True,True,55,70,75,80,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0426,hard,B,True,True,True,True,30,60,60,85,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0281,easy,C,True,True,True,True,90,95,95,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
medqa_0847,easy,C,True,True,True,True,95,98,98,98,EPISTEMIC,EPISTEMIC,EPISTEMIC
