id,utterance_id,tree_id,snippet,question,preliminary_answer,preliminary_reasoning,preliminary_confidence,needed_clarification_0,cq_1,user_response_1,answer_1,reasoning_1,confidence_1,needed_clarification_1,cq_2,user_response_2,answer_2,reasoning_2,confidence_2,needed_clarification_2,cq_3,user_response_3,final_answer,final_reasoning,final_confidence,n_cqs_asked,gold_answer,n_history_cqs,n_evidence_cqs,is_correct_preliminary,is_correct_final,provider,model_id,finish_reason,was_blocked
sharc_019,b4b632d91c87eb5fa597ee3302c624d3fe963bba,2c7c37769eb365976fb91d3888ae8eaac206e47d,"## Statutory Maternity Pay

To qualify for SMP you must:

* earn on average at least £113 a week
* give the correct notice
* give proof you’re pregnant
* have worked for your employer continuously for at least 26 weeks continuing into the ‘qualifying week’ - the 15th week before the expected week of childbirth",Do I qualify for SMP?,No,"The user has not provided any information regarding their earnings, employment history, notice given, or proof of pregnancy, all of which are required to qualify for Statutory Maternity Pay.",10,True,Have you worked for your employer continuously for at least 26 weeks continuing into the 15th week before your expected week of childbirth?,"Yes, I have been working for my employer continuously for 12 months.",No,"While the user has confirmed continuous employment, there is still no information regarding their average weekly earnings, notice given, or proof of pregnancy, all of which are required for SMP.",40.0,True,Do you earn on average at least £113 a week?,I earn about £300 a week from this job.,No,"The user has confirmed continuous employment and sufficient earnings, but still needs to confirm giving correct notice and proof of pregnancy to qualify for SMP.",60.0,True,Have you given the correct notice to your employer?,"Yes, I have given the correct notice.",No,"While you meet the requirements for continuous employment, average weekly earnings, and giving correct notice, you have not confirmed that you have given proof of your pregnancy, which is a mandatory condition for Statutory Maternity Pay.",95,3,Yes,2,2,False,False,gemini,gemini-2.5-flash,STOP,False
sharc_020,448fc167c8e52fdc507e27d38a835ddac9473019,3a0c541c166c494da7ba3b40a89bdf76dbcd658c,"#  Social Entitlement Chamber tribunal procedure rules

The rules are used in the following tribunal cases:

* Social Security and Child Support
* Asylum Support
* Criminal Injuries Compensation",Can the rules be used in this case?,No,"The rule specifies the exact types of tribunal cases where it applies, and the user has not provided information about their specific case type.",40,True,"Is your case a Social Security and Child Support, Asylum Support, or Criminal Injuries Compensation case?","No, the case is not about social security and child support, asylum support, or criminal injuries compensation.",No,The user confirmed their case does not fall under any of the specific tribunal types where the rules apply.,100.0,False,,,,,,,,,No,The user confirmed their case does not fall under any of the specific tribunal types where the rules apply.,100,1,No,3,0,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_021,44a7c0ec1579b72baaba3845e305941913247a10,a5a1987df8d343b2b026765f5da50326499f45f4,"## When you need to pay tax

You may need to pay tax on your foreign income in the normal way if you:

* are from a country without a double-taxation agreement for students
* have other income that you don’t bring to the UK
* bring it to the UK and spend it on things other than living costs and course fees
* plan to stay in the UK as your permanent home (‘domicile’)",Do I need to pay tax on my foreign income?,No,"The rule specifies conditions under which foreign income may be taxable, and without details of your situation, it is not possible to confirm if any of these conditions apply.",30,True,Do you plan to stay in the UK as your permanent home?,I plan to live in the UK permanently as my domicile.,Yes,"The user plans to stay in the UK permanently as their domicile, which is one of the conditions for needing to pay tax on foreign income.",95.0,False,,,,,,,,,Yes,"The user plans to stay in the UK permanently as their domicile, which is one of the conditions for needing to pay tax on foreign income.",95,1,Yes,3,1,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_022,bda711027edbdfaa81407cce5302d10932a5c8f6,69b195f2694033ea1221f57a827bc934fd16fa84,"## Other countries with UK benefits arrangements

The following countries have social security agreements with the UK:

* Kosovo
* Mauritius
* Montenegro
* New Zealand",Does this country have social security agreements with the UK?,No,"The user's question does not specify which country they are asking about, so it cannot be determined if it is one of the countries listed in the rule.",20,True,Are you referring to one of the countries listed in the rule text?,"Yes, I am referring to New Zealand.",Yes,New Zealand is explicitly listed in the provided rule as a country with social security agreements with the UK.,100.0,False,,,,,,,,,Yes,New Zealand is explicitly listed in the provided rule as a country with social security agreements with the UK.,100,1,Yes,2,1,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_023,60cf8388af18ef8874c4eac7f37c358332e59219,6de20194ab323890c078be39594a06a1e4e68db8,"## General Program Requirements

In order to qualify for this benefit program, you must be a Native American/American Indian who has been accepted or enrolled in an accredited degree program, college or university to study in the field of health care, and you or your family member must be enrolled in a federally recognized American Indian tribe or Alaska Native village.",Do I qualify for this benefit program?,No,"The user has not provided any information about their situation, so it is not possible to confirm if they meet any of the specified eligibility criteria.",10,True,"Are you a Native American/American Indian who has been accepted or enrolled in an accredited degree program, college or university to study in the field of health care, and are you or your family member enrolled in a federally recognized American Indian tribe or Alaska Native village?","I am a Native American who has been accepted or enrolled in an accredited health care program, but neither I nor any family member is enrolled in a federally recognized American Indian tribe or Alaska Native village.",No,"The user does not qualify because neither they nor a family member is enrolled in a federally recognized American Indian tribe or Alaska Native village, which is a mandatory requirement.",100.0,False,,,,,,,,,No,"The user does not qualify because neither they nor a family member is enrolled in a federally recognized American Indian tribe or Alaska Native village, which is a mandatory requirement.",100,1,No,2,1,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_024,b7813a7883f971095a1c06c705b26d3f0b4a6668,4997b5849900f91cab777a6eeb44055d2c03032e,"#  Export products made from endangered animals: special rules

If the animal is classed as B, C or D, you don’t need to do anything.",Can I export products made from this animal?,No,"The rule states that no action is needed only if the animal is classed as B, C, or D, and without this classification, it is presumed that special rules apply or export is not permitted without further steps.",60,True,"Is the animal classed as B, C, or D?","The animal is not classed as B, C, or D.",No,"Since the animal is not classed as B, C, or D, the condition for not needing to do anything is not met, meaning special rules apply or export is not permitted without further action.",95.0,False,,,,,,,,,No,"Since the animal is not classed as B, C, or D, the condition for not needing to do anything is not met, meaning special rules apply or export is not permitted without further action.",95,1,No,2,0,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_025,bb820260f05cf312d5455fbfa53f2ee0a9c7b7ff,f8460eb1e4b4bbceedc3e383752eefbe8e14d44f,"Agricultural producers and owners of non-industrial private forestland and Tribes are eligible to apply for EQIP. Eligible land includes cropland, rangeland, pastureland, non-industrial private forestland and other farm or ranch lands.",Am I eligible to apply for EQIP?,No,"The rule specifies eligible applicant types, and the user has not provided information indicating they fall into one of these categories.",20,True,Are you an agricultural producer or an owner of non-industrial private forestland?,"I am not an agricultural producer, but I am an owner of non-industrial private forestland.",Yes,"The user is eligible because they are an owner of non-industrial private forestland, which is one of the specified eligible applicant types.",95.0,False,,,,,,,,,Yes,"The user is eligible because they are an owner of non-industrial private forestland, which is one of the specified eligible applicant types.",95,1,No,3,0,True,False,gemini,gemini-2.5-flash,STOP,False
sharc_026,1b4161dbaf301dc148bb815b856d87fc3cd119a2,383e069af14576defd006b051b347be9ad0196ad,"## Items that qualify for the zero rate

You may be able to apply zero VAT when you sell the following to an eligible charity:

* equipment for making ‘talking’ books and newspapers
* lifeboats and associated equipment, including fuel
* medicine or ingredients for medicine
* resuscitation training models",Can I apply zero VAT to this item?,No,"The user has not specified the item they are selling, so it cannot be confirmed if it falls under the qualifying categories for zero VAT.",20,True,Is the item you are selling one of the specific items listed in the rule?,"Yes, I am selling medicine or ingredients for medicine.",Yes,"The user confirmed they are selling medicine or ingredients for medicine, which is an item explicitly listed as qualifying for the zero VAT rate.",95.0,False,,,,,,,,,Yes,"The user confirmed they are selling medicine or ingredients for medicine, which is an item explicitly listed as qualifying for the zero VAT rate.",95,1,Yes,3,0,False,True,gemini,gemini-2.5-flash,STOP,False
sharc_027,9e4fb9a154588c4e244dc3ab15d0f7ce59ff104b,d90548b369b253425a0463da3533a80885d1fb17,"#  4. Eligibility

You must be taking time off to look after the child and be one of the following:

* the father
* the husband or partner of the mother (or adopter)
* the child’s adopter
* the intended parent (if you’re having a baby through a surrogacy arrangement)",Am I eligible for paternity pay and leave?,No,Eligibility for paternity pay and leave requires meeting specific relationship criteria which are currently unknown.,20,True,"Are you the father, the husband or partner of the mother (or adopter), the child’s adopter, or an intended parent through a surrogacy arrangement?","No, I am not the baby's father, the husband or partner of the mother or adopter, the child's adopter, or the intended parent.",No,"The user is not eligible because they do not meet any of the specified relationship criteria (father, partner of mother/adopter, adopter, or intended parent) required by the rule.",100.0,False,,,,,,,,,No,"The user is not eligible because they do not meet any of the specified relationship criteria (father, partner of mother/adopter, adopter, or intended parent) required by the rule.",100,1,No,3,1,True,True,gemini,gemini-2.5-flash,STOP,False
sharc_028,9de7a709b2956106e48bc43515e8191b5f307ca3,263c1fd6c4004bdb60a1b98909bb70b216ae2d79,"### Sharing bedrooms

The following can have their own bedroom:

* a single adult (16 or over)
* a child that would normally share but shared bedrooms are already taken, for example you have 3 children and 2 already share
* a couple or children who can’t share because of a disability or medical condition
* an overnight carer for you, your partner, your child or another adult - this is only if the carer doesn’t live with you but sometimes has to stay overnight",Can I have my own bedroom?,No,The user has not provided any information to confirm they meet the criteria for having their own bedroom as outlined in the rule.,20,True,Are you a single adult aged 16 or over?,I am not a single adult over 16.,No,"The user has confirmed they are not a single adult aged 16 or over, which rules out the first eligibility condition, and no other criteria have been met yet.",50.0,True,"Do you have a disability or medical condition that prevents you from sharing a bedroom, or are you a child and shared bedrooms are already taken?",That information is not available.,No,"The user has confirmed they are not a single adult aged 16 or over and has indicated that information regarding other eligibility criteria (disability, medical condition, or shared bedroom availability for children) is not available, meaning no conditions for having their own bedroom have been met.",90.0,False,,,No,"The user has confirmed they are not a single adult aged 16 or over and has indicated that information regarding other eligibility criteria (disability, medical condition, or shared bedroom availability for children) is not available, meaning no conditions for having their own bedroom have been met.",90,2,Yes,2,2,False,False,gemini,gemini-2.5-flash,STOP,False
sharc_029,68aeef02fb766fd3dfa0b3781084d412c1c0fb5f,a89e1369605f077fd567b42e9699ae9dde58d834,"To qualify for assistance, applicants must meet all loan eligibility requirements including:

* Be the owner-operator of a family farm after loan closing.",Do I qualify for assistance?,No,"The rule states that applicants must be the owner-operator of a family farm after loan closing, and it is unclear if you meet this specific requirement.",40,True,Will you be the owner-operator of a family farm after loan closing?,The user confirmed that they own and operate a family farm.,Yes,"The user confirmed they are the owner-operator of a family farm, which directly fulfills the primary eligibility requirement.",95.0,False,,,,,,,,,Yes,"The user confirmed they are the owner-operator of a family farm, which directly fulfills the primary eligibility requirement.",95,1,No,2,0,True,False,gemini,gemini-2.5-flash,STOP,False
