id,title,category,original_question,clarifying_question,cq_type,user_response,preliminary_solution,preliminary_confidence,updated_solution,updated_confidence,accepted_answer,provider,model_id,finish_reason,was_blocked
msd_027,Bing maps do not seem to use x and y - only Long and Lat with MS SQL Db column,Bing_Maps,"*Original TItle: Maps x and y I use x and y coordinates from a MS SQL Db column. All working for years. Now Bing maps do not seem to use x and y - only Long and Lat. Is it me or is there a work around because I have fiddled with my string and nothing gets the result on a map. This is extremely irritating, so any help will be great.","How are you currently integrating your SQL data with Bing Maps (e.g., specific API, SDK, or a third-party tool)?",,I'm not using a special API or third-party tool. My Classic ASP page just pulls the coordinates from my database and builds a regular web link to Bing Maps.,"It sounds like a recent change in how Bing Maps expects coordinate data. Please verify the specific Bing Maps API or control version you are using. Consult its documentation to confirm the required coordinate format. If your X/Y coordinates are in a projected system, you will likely need to convert them to WGS84 (Longitude, Latitude) before passing them to the map.",85,"It appears Bing Maps now strictly expects WGS84 Longitude and Latitude. You'll need to convert your existing X and Y coordinates from your SQL database to Longitude and Latitude before building the Bing Maps URL. First, identify the specific coordinate system of your X and Y data. Then, implement a conversion function in your Classic ASP page or SQL query to transform them into WGS84 Longitude and Latitude, and use these new values in your map link.",90,"Hi,  Thank you for contacting Microsoft Community.  I would suggest you to post your query on Microsoft Msdn forum for this issue. There you can get more effective and appropriate suggestions by experts familiar with this topic. Your understanding is appreciated.  Here is the link for Microsoft Msdn forum: https://social.msdn.microsoft.com/Forums/en-US/home   Please let us know the results. Feel free to write us back for any further assistance with Windows, we’ll be glad to assist you.

Hi,  Microsoft Community is a Peer-To-Peer network of volunteers.  We deal with general questions regarding Microsoft Products and their usage.   With the recent changes in Bing Maps it is wiser to send you to the Developer Forum for assistance. This is a link to the  Bing Service Forum.  You might wish to bookmark it for future reference.",gemini,gemini-2.5-flash,STOP,False
msd_028,PowerPoint 2016 for Mac frequently crashes when switching between Normal/Notes/Outline views,PowerPoint,"I'm on PowerPoint for Mac 2016, version 15.34 (apparently the latest version to date). I have noticed very frequent crashes when opening a blank presentation (or using an existing presentation) and then switching between Normal, Notes and Outline views. I do not have any font issues. I am running on OS X 10.11.6, 16 GB RAM. Wondering if anyone else is having similar troubles? I cannot get it to consistently crash, but switching between views, clicking occasionally on slides and switching between views will eventually crash the app. Switching between Notes and Normal view seems to be a frequent culprit. I also might add that I am using multiple monitors, and wonder if this has anything to do with the issue. - Amanda",Does the crashing behavior persist if you disconnect your external monitors and use PowerPoint only on your MacBook's built-in display?,,"Yes, it still crashes even when I unplug my extra monitors. I tested it with just the main screen and the exact same thing happens.","1. Start your Mac in Safe Mode and test if PowerPoint still crashes when switching views. 2. Create a new user profile on your Mac and try using PowerPoint there to rule out user-specific settings. 3. Ensure your macOS is fully updated, as OS updates often include stability fixes.",65,"1. Fully uninstall Microsoft PowerPoint 2016 from your Mac, ensuring all associated preference files are removed. 2. Reinstall PowerPoint 2016. 3. If the crashes continue after reinstallation, create a new user profile on your macOS and test PowerPoint's view switching functionality within that new profile to rule out profile-specific corruption.",85,"I wanted to add to this post that I experienced an identical problem as OP - After reading the solutions here, I discovered that the window management program ""Magnet"" from the apple store was the culprit in my case. I assume that these window management programs are using the same system resources and are causing the same error for MS powerpoint. Quitting Magnet seems to have resolved the problem. Just a note for future google-ers   Thanks all for the help",gemini,gemini-2.5-flash,STOP,False
msd_029,When is Bing app coming outside US (in more language)?,Bing_Apps,"Hi, When will you release the Bing app in more countries and languages? Thank you",Are you looking for the Bing app to be available in a specific country or language?,,"Yes, I live in Canada and I am hoping to get it in French.",Microsoft typically announces new product availability and language support through official channels like the Microsoft Bing Blog or newsroom. Please monitor these sources for the latest updates on Bing app expansion to additional countries and languages.,90,"We understand your interest in the Bing app's availability in Canada and in French. Specific release dates and roadmaps are not publicly shared. We recommend monitoring official Microsoft announcements, the Bing blog, and the app store for updates on new features, country availability, and language support. Your feedback helps prioritize future developments.",90,"Hi, John727,  As you know, Bing Rewards is NOT CURRENTLY AVAILABLE OUTSIDE THE US.  If you'd like to have the app in your country, go to Bing Listens and post a request or vote on a request for it to be released in Canada.  Developers do frequent that forum and do reply to posted requests.  Have your friends vote for the release.",gemini,gemini-2.5-flash,STOP,False
msd_030,PowerPoint 2016 Bottom Task Bar,PowerPoint,"I recently repaired Office 365 for Outlook timing; however, afterwards I noticed my PowerPoint 2016 is impacted.  The bottom task bar has disappeared and I can't figure out how to restore it - can you help?","Are you referring to the PowerPoint 'Status Bar' that typically shows the slide number, zoom slider, and view options at the very bottom of the PowerPoint window?",,"Yes, that sounds like the one. It is the bar right at the very bottom of the screen that completely disappeared.","Right-click on the very bottom edge of the PowerPoint window, where the status bar should normally appear. In the context menu that pops up, ensure that 'Status Bar' is checked. If it's unchecked, click on it to restore its visibility. This often resolves missing UI elements after an Office repair.",85,"To restore the Status Bar in PowerPoint 2016, right-click on the very bottom edge of the PowerPoint window, in the area where the bar should normally appear. From the context menu that pops up, ensure that ""Status Bar"" is checked. If it's unchecked, click on it to re-enable its display.",95,"Hello Daniel,   The problem that you are experiencing with the bottom taskbar in PowerPoint 2016 is possibly caused by a 3rd party add-ins. To better assist you, we suggest that you try to disable all 3rd party add-ins or run PowerPoint in safe mode and verify the result. You can also repair the PowerPoint app by going to this link.  Let us know how it goes.",gemini,gemini-2.5-flash,STOP,False
msd_031,Lost credits in new Skype,Skype_iOS,"So I can't use the new Skype at all. I can't call anyone nor see if they are online. More than that though, the new version has lost about $20 worth of credit and all call history. Any idea how to get the money back? My user name has not changed, my password has - ever since they connected Skype to hotmail.",Could you please confirm the exact Skype Name or Microsoft account email you are currently logged in with on the new Skype app?,,I'm not sure about that.,"Please try logging out of the Skype app and then logging back in using the original Skype Name or the Microsoft account email address that was associated with your lost credits. If you're unsure which account holds the credits, check your purchase history or old email receipts for the account name.",90,"It sounds like you might be logged into a different account. Please verify the account you are currently signed into by checking your profile in the Skype app. If it's not the account where you had credits, sign out and then sign back in using the Microsoft account email or Skype Name associated with your lost credits. If your credits are still missing after confirming the correct account, please contact Skype Support directly for assistance with account recovery.",90,"Hello Michael,  Welcome to Skype Community forum!  If you cannot see your contacts, history and credit, you may check if you're logged in to the correct account.  You can also use this link: click here to check how many accounts associated with your email address.  Let me know if you're still getting the same problem.",gemini,gemini-2.5-flash,STOP,False
msd_032,Image search changed,Bing_Search,"For some reason my image search keeps changing from the old style shown below to some **** with pintrest suggestions. In stead of scrolling left to right when i use the scroll wheel it goes up and down? I just want to stick with the older version but, I can't seem to find why it keeps going back and forth between new and old? I use firefox.","Have you tried clearing your browser's cache and cookies in Firefox, or does this inconsistent behavior also occur if you try Bing Image Search in a different web browser?",,"I haven't tried clearing my cache or cookies. However, I did try using a second browser, and it does the exact same thing there too.","Clear your Firefox browser's cache and cookies, then restart Firefox. Next, try accessing Bing Image Search in a Firefox Private Window to see if the issue persists. If the problem continues, consider temporarily disabling any browser extensions that might be interfering with website display.",75,"Since the inconsistent image search behavior occurs across multiple browsers, it suggests the change is likely server-side from Bing or part of an A/B test. If you are logged into a Microsoft account, check your Bing settings for any display preferences. We recommend reporting this issue directly to Bing through their feedback option, as they control the rollout of these interface changes.",90,"Hi Mike,   Unfortunately I am unable to view the image you have attached.   As you are using Firefox, I suggest you to check if the issue occurs while using Internet Explorer.   If the issue occurs only while using Firefox, please contact Mozilla Firefox support from the link below:   http://support.mozilla.org/en-US/   Hope this information helps, do let us know if you need any assistance with Windows.   Thank you.",gemini,gemini-2.5-flash,STOP,False
msd_033,"How do I file a complaint against https://buy.officeformac.com? Today's download kit, X18-08827.dmg DOES NOT WORK",Word,"I clicked the Download link from microsoft.com and was forwarded to https://buy.officeformac.com.  Purchased the MS Office 2011 for Mac (Student edition) download.    After 1.04GB download, install went fine on Macbook Pro (OS X 10.8.2)  but when I try to open MS Word (so I can enter my newly purchased key) it never opens.  Rebooted, same error.  Reboot again, same error.  The officeformmac.com guys are clueless.  Guessing that the kit is corrupt on the download site.  So I paid for the kit and it does not work.    How do we fix this?","When you try to open Word, does it display any error messages, crash reports, or does nothing happen at all?",,"Nothing happens at all. I don't see any error messages or crash reports, the program just never opens.","1. Completely uninstall Microsoft Office 2011 for Mac, including preference files, following Microsoft's official removal instructions. 2. Re-download the Office 2011 installer, preferably from your Microsoft account's download history or a direct Microsoft download link. 3. Reinstall Office 2011. 4. Immediately after installation, run Microsoft AutoUpdate to ensure all available updates are installed before attempting to open Word.",75,1. Completely uninstall Microsoft Office 2011 for Mac using the official removal tool or manual instructions from Microsoft's support site. 2. Clear any remaining Office preference files from your user library. 3. Download a fresh installer directly from your Microsoft account or the official Microsoft Office support page. 4. Reinstall Office 2011 and then attempt to launch Word.,90,"Word needs updates to run with OS 10.8.2.  There will be nothing wrong with the downloaded file: the Installer checks the entire package for that, before running.  So if the installer ran, the file's OK.  There's some problem in your system preventing Word from starting.  It's most likely to be a lack of updates.  Hope this helps",gemini,gemini-2.5-flash,STOP,False
msd_034,Not receiveing phone calls,Skype_Android,Hi Skype isn't working again had trouble with it at the beginning then it worked fine but am now having more troubles with it not getting phone calls when people are ringing me help please,Are you actively logged into the Skype app on your Android device and is your device connected to the internet when these calls are being made?,,"I'm not sure about being actively logged in when the calls happen. However, my internet connection is strong.","1. Ensure Skype is not restricted by Android's battery optimization settings. 2. Verify that Skype has all necessary permissions enabled, especially for notifications and microphone. 3. Clear the Skype app's cache and data via your Android settings, then restart the app. 4. If the problem continues, try uninstalling and reinstalling the Skype app.",75,"To receive calls on Skype for Android, ensure you are actively logged into the Skype app. Keep the app running in the background and check your device's notification settings to allow Skype notifications. This will ensure calls are routed to your device when they come in.",90,"Hello AnnaGebert,  Please ensure your Notifications are turned on:  Also, make sure your Internet connection is strong to avoid issues with connectivity. For more information, please refer to this FAQ. If you have further questions, please do not hesitate to reply to this post. Thank you! Julie_S1Tiffany Skype Community Moderator

Hello AnnaGebert,  I sent you a private message here in the Community. Please go to your profile, and check your messages. Thank you!  Julie_S1Tiffany Skype Community Moderator",gemini,gemini-2.5-flash,STOP,False
msd_035,Videos,Apps_Windows_10,"If I want to watch a video, say a news video on MSN for example it does not work on Edge. The screen flashes and goes blank and while I hear the sound I see no video. If I use Chrome it works fine. What is happening? [Moved from:  Windows / Windows 10 / Performance & system failures / PC]","Does this video playback issue occur on other websites (e.g., YouTube, Netflix) when using Microsoft Edge, or is it specific to MSN and similar news sites?",,I haven't checked. I've only really noticed it happening with MSN news videos.,"1. Open Edge settings, go to ""System and performance"", and toggle off ""Use hardware acceleration when available"". Restart Edge. 2. If the issue persists, check for and install any available updates for your graphics drivers through Device Manager or your graphics card manufacturer's website. 3. As a last resort, try resetting Edge settings to default.",85,"1. Clear your Microsoft Edge browser's cache and cookies. Go to Edge Settings > Privacy, search, and services > Clear browsing data.2. Try disabling hardware acceleration in Edge. Go to Edge Settings > System and performance, and toggle off 'Use hardware acceleration when available'.3. Restart Edge and test an MSN news video again. If the issue persists, ensure your Edge browser and Windows are fully updated.",85,"Thank you for the update. It seems that we've exhausted all the troubleshooting steps to resolve the issue. We suggest submitting your concern on our Feedback Hub so our technical team can find a fix for the issue. You can either vote on an existing submission or submit a new issue. When you submit a feedback item we gather additional details and information about your issue that will help determine what’s causing it and address it. Feedback items regularly receive Microsoft responses on the submissions in the Feedback app so you can see what we are doing about your feedback. Please revisit frequently to see the status of your feedback items.     For more information on Feedback Hub, see our support article and YouTube video.     In order to submit new feedback, please follow these steps:    1. On a Windows 10 device, search for “Feedback Hub” in Cortana search, then launch the app.  2. Navigate to Feedback in the left menu, then press + Add new feedback.  3. Select the Problem, and share any details you think are relevant, and choose an appropriate category and subcategory.  4. Important: If possible, reproduce the problem(s) after clicking Begin monitoring (or Start capture) near the end of the form; Stop monitoring when you’re done.  5. Once you’ve completed the form and monitoring, click Submit.  6. Click Continue using Feedback Hub.  7. Click My feedback at the top, then find the item you submitted (it may take a while to appear).  8. Open the item you submitted, then click Share.  9. Click Copy link, then paste the link here in your response (it will look like https://aka.ms/<unique link>).  Let us know if you need anything else. We're here to help.",gemini,gemini-2.5-flash,STOP,False
msd_036,Not getting Bing double points,Bing_Search,"Original Title: Thanksgiving 2x So I see on the board for today when you search Bing, you get double the points (2x) but Im still getting point for every other search. Is there something that Im doing wrong? Thanks!!!!",Have you confirmed that the Thanksgiving 2x points offer has been explicitly activated on your Microsoft Rewards dashboard?,,I haven't checked. I just saw the promotion on the board today and noticed I'm still getting the regular points.,"Please visit the Microsoft Rewards dashboard and ensure the Thanksgiving 2x points offer is activated. Many promotional offers require manual activation before points are awarded at the boosted rate. Also, confirm you are logged into the correct Microsoft account while performing searches.",80,"Please visit your Microsoft Rewards dashboard and locate the Thanksgiving 2x points offer. Ensure you explicitly activate the promotion there. Once activated, perform a few Bing searches to confirm you are now receiving double points. If the issue persists after activation, clear your browser's cache and cookies, then try again.",95,"It still means what I said earlier.  You're getting twice the amount of credits you'd ordinarily receive.  So instead of 15 daily, you'll be accumulating 30 daily for those selected days during November. But, you still have to perform 2 searches for 1 credit.",gemini,gemini-2.5-flash,STOP,False
msd_037,having Bing take me straight to a search result?,Bing,"Hi, I am trying to help my parents use a new PC and showing them Bing.   What we'd like to do is have them have Bing as their homepage - easy.    Then say they want to go to ""amazon.com"", they enter amazon.com in the search box - also easy. The question / problem is, they get many results and this confuses them.  Is there a way to have Bing just go straight to the website?   I thought I saw somewhere you could use double quotes and it's just go to that site, but that didn't seem to work.   Anyone know if this is possible?   Thanks in advance, Chris","Are your parents typing 'amazon.com' into the address bar of their web browser, or specifically into the search box on the Bing homepage?",,"They are typing it specifically into the search box on the Bing homepage. I tried showing them how to use the address bar, but it was just too confusing for them.","To go directly to a website like amazon.com, your parents should type the full address into the browser's address bar, which is usually at the very top of the browser window. This will navigate them directly to the site without showing search results. The Bing search box is primarily for searching for information, not direct navigation.",95,"When your parents type a website address like ""amazon.com"" into the Bing search box, it will always display a search results page. The easiest way for them to reach the website directly is to simply click on the very first result shown. This top result will consistently be the official website they intended to visit, minimizing confusion from other search entries.",95,"There's one other option if using Windows 8/8.1 or Windows 10.  Install the Amazon.com app from Windows Store then pin it to taskbar.  All they'd need to do is look at the taskbar and click on the App to launch it then go shopping. https://www.microsoft.com/en-us/store/apps/amazon/9wzdncrfj13v  Edit:  Note:  When you open Bing.com, you will see bing.com in the address bar.  Typing www.amazon.com in this instead of the search bar will take you directly to Amazon.com.",gemini,gemini-2.5-flash,STOP,False
msd_038,Disc Space,Windows_RT_8.1,I have a Microsoft Surface RT running 8.1.  It is 3 years old and I love it.  The problem I have is that the daily updates (like Windows Defender) are using up all my spare disc space.  I do not have large apps on those computer.  I am down now to 4.12 gigs left and going down rapidly.  I really don't want a new machine and am wondering how to get my disc space back and how to stop updates using my disc space.,Have you already tried running Disk Cleanup and specifically selected the 'Clean up system files' option to remove old Windows Update files?,,I haven't checked. I only looked at File Explorer and Settings to make sure my apps weren't taking up all the room.,"Run Disk Cleanup to remove accumulated update files. Open File Explorer, right-click your C: drive, select Properties, then Disk Cleanup. After the initial scan, click 'Clean up system files'. Once it rescans, select 'Windows Update Cleanup' and 'Temporary files', then click OK to delete them. This should free up significant space.",90,"1. Run Disk Cleanup: Search for ""Disk Cleanup"" in the Start screen.2. Select your C: drive and let it scan.3. Click ""Clean up system files"" and select C: again.4. Check the box for ""Windows Update Cleanup"" and any other large temporary files.5. Confirm to delete the selected files. Perform this regularly to manage space used by updates.",90,"I second the vote for TreeSize and throw out there JDiskReport (http://www.jgoodies.com/freeware/jdiskreport/) to use.  Also, use disk cleanup as directed here: http://www.techrepublic.com/blog/windows-and-office/regain-hard-disk-space-by-using-windows-update-cleanup-in-windows-7-and-8x/",gemini,gemini-2.5-flash,STOP,False
msd_039,"Where is the tab ""my places"" in bing map through Web?",Bing_Maps,"Right now, I don't know what happened with bing map. I can't find the tab ""my places"" and can't not save a location either. Need help! I lost all the places that has been saved to ""my places"".",Are you currently signed into your Microsoft account when you are using Bing Maps?,,I'm not sure about that.,"The ""My Places"" feature requires you to be signed into your Microsoft account. Please ensure you are logged in. If you are already signed in, try clearing your browser's cache and cookies, then restart your browser. If the problem persists, try accessing Bing Maps from a different web browser or an incognito/private window.",85,"To access ""My Places"" and save locations, please ensure you are signed into your Microsoft account on Bing Maps. Look for the ""Sign in"" option in the top right corner of the page. If you are already signed in, verify it's the correct account associated with your saved places. Your saved locations are tied to your Microsoft account.",95,"It's to the right of the search box, the third icon. If it is missing, it is possible that your ""my places"" collections are in the process of being migrated from the old site to the new site. This should only take a day or two. Also make sure you are signed into the new site.",gemini,gemini-2.5-flash,STOP,False
msd_040,Tweak Program,Excel,"Hello,   I’ve tried tooling around with the below to adjust for my needs and failed miserably.  So hoping someone might have a quick solution.   Is there any way to modify the below so instead of returning the first non-empty, instead return first Cell that does not say “NO”.  So any cell that has a value other than NO would be the AM1 value.  Below is an example of how It'd hope it would work.  So I just want the first value that appears in the column (and in this case it would beFEL1) to be the value what would appear in Cell AM1.   Lastly, if all that is returned is “NO” and there is no other value, can you have it write an error message “Like No Matches Found in Search.”    Thanks so much for any help and thoughts on how to achieve this –   Jenny B.      SuStacyFirstNonEmptyCell()            Dim startCell As Range, firstNonEmptyCell As Range       Set startCell = Range(""AJ:AJ"")       If VBA.IsEmpty(startCell.Value) Then         MsgBox ""No data in this column""     Else         Set firstNonEmptyCell = startCell.End(xlDown)                   Range(""AM1"") = firstNonEmptyCell.Value >>> Instead would like it to be first value in Range AJ that is not NO             End If         Call CopyDown                End Sub        A                  B                    C               D          E                F                 AH              AI            AJ                 AK             AL       AM 353514199 L17     F     F     7777788899 NO FEL1 353514102 L17     N     F     7771112221 NO 353514102 L17     F     F     7771112221 NO 353514102 L17     N     N     7771112222 FEL1 353514102 L17     N     N     7771112221 NO 353514199 L17     N     N     7771112221 NO 353514102 L17     N     N     7771112221 NO 353514102 L17     N     N     3333332222 NO 353514102 L17     N     N     3333333222 NO 353514102 L17     F     F     3333332222 NO 353514102 L17     F     F     3333222222 NO 353514C99 L17     E     N     8675309651 FEL1 353514Z99 L17     E     F     7727272727 NO","From which row should the search for the first non-'NO' value in column AJ begin, or should it always start from row 1?",,I'm not sure about that. I just know it needs to search down the AJ column.,"To find the first cell in column AJ that does not contain 'NO' and is not empty, iterate through the cells from row 1 downwards. Store the value of the first matching cell found. If no such cell is found after checking all data in the column, set cell AM1 to 'No Matches Found in Search.'; otherwise, set AM1 to the found value.",90,"Modify your VBA macro as follows: Loop through each cell in column AJ, starting from row 1 down to the last row with data. Check if the cell's value is not empty and not equal to ""NO"". Assign the value of the first such cell found to AM1. If no matching cell is found after checking the entire column, set AM1 to ""No Matches Found in Search.""",95,"This should do the trick best wishes  Sub tryme()   flag = False   LastRow = Cells(Rows.Count, ""AJ"").End(xlUp).Row   For k = 1 To LastRow     If Range(""AJ"" & k) <> ""NO"" Then       Range(""m1"") = Range(""AJ"" & k)       flag = True     End If   Next k   If flag = False Then      Range(""M1"") = ""Unsuccessful""   End If End Sub",gemini,gemini-2.5-flash,STOP,False
msd_041,Bullets in the Table for PowerPoint,PowerPoint,"Hi, I am struggling to figure out why when I press the bullet button to format the texts in the table, the bullet only formats the first line break. For example, if I copy an excel text from a cell with line breaks like this: Apple Oranges Cabbage and paste it into a PowerPoint table cell and press bullet, only the first bullet will have a bullet while the others have hanging indents like this •      Apple Oranges Cabbages I would like the text within the table cell to look like this •       Apple •       Oranges •       Cabbages Currently, I have to manually create the bullets by erasing the pre-made line breaks from excel and pressing enter. However, this can get tedious. Is there a way to fix this problem? Thank you","Are the line breaks within your Excel cells created using Alt+Enter, or are they simply text wrapping within a single cell?",,I put the line breaks in myself by pressing Alt and Enter. It's not just the text wrapping automatically.,"1. Paste the text into the PowerPoint table cell. 2. Select the text within the cell. 3. On the Home tab, click ""Replace"" (or press Ctrl+H). 4. In the ""Find what"" box, type ^l (caret followed by lowercase L). 5. In the ""Replace with"" box, type ^p (caret followed by lowercase P). 6. Click ""Replace All"" and then apply your bullet formatting.",90,"To correctly apply bullets to each item, first paste your Excel text into the PowerPoint table cell. Then, select the text within the cell and use PowerPoint's Find and Replace feature. In the 'Find what' field, type `^l` (caret L) to find manual line breaks. In the 'Replace with' field, type `^p` (caret P) to replace them with paragraph breaks. After performing the replacement, apply the bullet formatting, and each item will now have its own bullet.",95,"Hi Deborah Park,  Based on your description, when you click the Bullet option, only the first text are formatted with the bullet. I would like to suggest you ensure you have selected the whole text, and select the bullet in PowerPoint. You can find more details in this article: Add bullets or numbers to text  If the issue persists, could you please provide detailed steps and related screenshots about how you copy an excel text from a cell with line breaks and encounter the issue, so we can better understand your situation and help you?  Regards, YogaStephanie",gemini,gemini-2.5-flash,STOP,False
msd_042,PowerPoint for Mac 2011,PowerPoint,All of a sudden I cannot show my slides in Slide Show view (Full screen) and everything in the tool bar is grayed out. This is happening with all my Powerpoint presentations. Any help out there?,Does this issue persist if you try to open PowerPoint in Safe Mode or after creating a new user profile on your Mac?,,I haven't checked. I'm not sure how to do either of those things.,"Quit PowerPoint completely. Go to Finder, hold down the Option key, and click Go > Library. Navigate to the Preferences folder and drag the file 'com.microsoft.PowerPoint.plist' to the Trash. Restart PowerPoint and check if the issue is resolved.",70,"1. Quit PowerPoint. 2. In Finder, hold the Option key and click 'Go' > 'Library'. 3. Navigate to the 'Preferences' folder and delete files named 'com.microsoft.Powerpoint.plist' and 'com.microsoft.office.plist'. 4. Restart your Mac, then open PowerPoint and test if the issue is resolved.",90,"Hi Jenna,  If you keep a ""insert table"" window open, the toolbar will be grayed out, double check and make sure you have closed any ""insert table"" window.  Regards, JamesDouglas",gemini,gemini-2.5-flash,STOP,False
msd_043,export to CD option in ppt2016,PowerPoint,The embedded music doesn't play on powerpoint 2016 when I exported it to a memory stick-  I used mp3's ',"Did you use the 'Package Presentation for CD' feature in PowerPoint 2016, or did you manually copy the .pptx file and the .mp3 files to the memory stick?",,I used the Export to CD option but chose my memory stick to save it. I also tried putting the music files in the exact same folder as the presentation.,"To ensure all embedded and linked media plays correctly, use the 'Package Presentation for CD' feature. Open your presentation, go to File > Export > Package Presentation for CD, then select 'Package for CD'. Choose 'Copy to Folder' and select your memory stick as the destination. This will bundle all necessary files, including your MP3s, into a folder for portable playback.",85,"1. Open your presentation and ensure the music files are inserted correctly. 2. Go to File > Export > Package Presentation for CD > Package for CD. 3. In the 'Package for CD' dialog, click 'Options'. Ensure 'Linked files' is checked. 4. Choose your memory stick as the destination and complete the packaging process. 5. Check the resulting folder on the memory stick to confirm all audio files are present alongside the presentation.",90,"Try this:  Delete the existing music files Put the music files in the same folder as the PowerPoint file Re-insert them  That generally produces ""pathless"" links that work on other systems so long as:  - The PPT/x and music files stay together in the same folder and - The computer is capable of playing the music files in the first place  But something else to check on ... see, it's odd that PPT should be complaining about linked files. The default nowadays is for it to embed music and video files, not link them, unless you explicitly told it to link (in which case, re-insert them, DON'T link and you should be ok).  Unless perhaps you're playing the presentation on an older version of PowerPoint; it might not be able to play embedded MP3s.  Something else to check ...",gemini,gemini-2.5-flash,STOP,False
msd_044,There is no login box on windows 8.1 when I try to log in,Windows_8.1,"I turned on my laptop and the usual screen with the date and time showed up. I clicked to open up the login screen. The password box was not there but my name and email and my picture was there (which, by the way is the default one). I tried turning off then turning my laptop back on and it didn't work. I tried changing my password the log in box was still not there. I tried changing my name on Microsoft live and it did not update my name on my laptop. please help this is really urgent as I need to do work on my laptop but cannot log in",Have you tried pressing Ctrl+Alt+Del at the login screen to see if it brings up a different login prompt or options?,,I haven't checked. I didn't try pressing those keys.,"First, try pressing Ctrl+Alt+Del at the login screen to see if a password box appears or if it presents other login options. If that doesn't work, force shutdown your laptop three times in a row by holding the power button to enter the Advanced Startup Options. From there, navigate to Troubleshoot > Advanced options > Startup Settings and choose to boot into Safe Mode with Networking. If you can log in to Safe Mode, try creating a new local user account or running the System File Checker (sfc /scannow) from an elevated Command Prompt.",75,"1. At the login screen where the password box is missing, press Ctrl+Alt+Del simultaneously. This often brings up a different login prompt or options. 2. If the password box still doesn't appear, try clicking on your user picture or name on the screen. 3. If neither works, consider using the on-screen keyboard (if accessible) to see if it triggers the input field.",85,"Is there perhaps a left-pointing arrow near your account tile on the login screen?  You can try that to access alternate accounts.  If that doesn't work, let's try to restore back to the last day it was working.  At the bottom of the login screen, you'll see a power icon.  Hold the shift key on your keyboard while you choose the Restart option.  After a few seconds, some options will appear.  Here you can use troubleshooting and then System Restore.  This restores backups of your registry and system settings, but doesn’t touch any of your files. It only takes a couple of minutes.  There are also more intense recovery options (refresh and reset), but I do not recommend those right now, because they are more advanced.",gemini,gemini-2.5-flash,STOP,False
msd_045,Row line or highlight appears after pressing Enter - Excel 2016,Excel,"Hi There, A line, highlight,border or whatever you call it appears once you hit on Enter, as may times as you enter after putting text on any cells it does this. It is happening all the sudden on all our Excel 2016 in the office. I suspect it is an update that did this. Though it does disappear if you flick to and from different sheets, but whe you type and enter it will do it again. Any ideas? Thanks","Could you describe the 'line, highlight, border' more precisely? For example, is it a thin line, a colored highlight, or a full cell border, and does it appear on the active cell, row, or column?",,I'm not sure about that. I haven't checked the exact details of what it looks like or exactly where it appears.,"This sounds like a display rendering issue. First, try disabling hardware graphics acceleration in Excel: Go to File > Options > Advanced, scroll to the 'Display' section, and check 'Disable hardware graphics acceleration'. If the issue persists, ensure your graphics drivers are up to date. As a last resort, consider performing an online repair of your Office 2016 installation.",75,"1. Open Excel, go to File > Options > Advanced.2. Under the Display section, check the box for ""Disable hardware graphics acceleration"".3. Click OK and restart Excel to see if the issue is resolved. If the problem persists, ensure your display drivers are updated to the latest version.",80,"Hi Lisa,   Based on your description, I need to confirm if the issue is the situation as below:    If so, I would like to explain that the issue is now fixed in the KB4011165 update, released on September 12, 2017. If you have KB 4011050 installed, you do not need to uninstall this before installing KB4011165.   Thanks, QingJames",gemini,gemini-2.5-flash,STOP,False
msd_046,Free remote desktop to control windows 7 PC with my android phone?,Windows_7,"Hey I was wondering if their is a free remote desktop program for my windows 7 PC, so I can access my computer from my android phone? I don't want to  control my computer, just access it from a different server. Example, if I am on the app on my phone I want to be able to use my computer at the same time separately. Most apps only act as a remote to navigate/ control you computer and you can watch the mouse move on screen, which is not what I want. If anyone can help please I could use it. Also if you are confused, let me know and I will try to reword it or explain it better. Please and thanks in advance.","Are you looking to have two separate users actively using the computer simultaneously, one locally and one remotely from your phone, without interfering with each other's work?",,"Yes, that is exactly what I want. I need to be able to access it from my phone while the physical computer can still be used separately at the same time.","Windows 7 does not natively support multiple concurrent interactive user sessions via Remote Desktop; connecting remotely will lock the local session. For simultaneous, separate usage, you would typically need a Windows Server operating system with Remote Desktop Services. Third-party solutions might offer similar functionality, but often come with a cost.",85,"Windows 7 does not natively support simultaneous, separate user sessions, meaning only one user can actively use the PC at a time, whether locally or remotely. The functionality you're seeking, where multiple users can work independently and concurrently, is a feature of Windows Server operating systems. There are no free, officially supported methods to enable this specific multi-user capability on Windows 7.",95,You need a server operating system then.  http://www.microsoft.com/windowsserver2008/en/us/rds-product-home.aspx Likely the company uses a combination of roaming profiles and RDS so you are actually logging into a Virtual Machine.,gemini,gemini-2.5-flash,STOP,False
