id,category,preliminary_confidence,confidence_1,confidence_2,final_confidence,cq_1,cq_2,cq_3,rouge_prelim,rouge_s1,rouge_s2,rouge_final,rouge_delta,total_delta,cq1_type,cq2_type,cq3_type
msd_025,Bing,85,80,75,90,"Are you using the official Bing Wallpaper application, or is the daily photo set as your background through a different method, such as Windows Spotlight or a browser extension?","Does the text commentary appear only when you hover your mouse over the image, or is it always visible on the photo?","When you turn on your computer, do you see a small Bing icon in the bottom right corner of your screen, near the clock?",0.0851063829787234,0.09259259259259259,0.09433962264150944,0.0816326530612245,-0.003473729917498905,5,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_026,Skype_Windows_10,95,98,99,100,"Are you trying to receive a call from someone who only has your email address, or are you simply asking if this is a possible way to be contacted on Skype?",Do you currently have your email address linked to your Skype account and set to be discoverable by others in your privacy settings?,"Do you want to be discoverable by your email address on Skype, or would you prefer to keep your profile private from email searches?",0.17054263565891473,0.18045112781954886,0.11594202898550725,0.12857142857142856,-0.04197120708748617,5,ALEATORIC,EPISTEMIC,ALEATORIC
msd_027,Bing_Maps,75,90,95,95,"Could you share an example of the 'string' you are using to pass your X and Y coordinates to Bing Maps, or describe the specific Bing Maps API or control you are using?","Do you know which specific projected coordinate system (e.g., a national grid like OSGB36, UTM, or a custom local grid) your 'x' and 'y' coordinates are currently in?","Can you tell me the general geographical area or country that these 'x' and 'y' coordinates represent (e.g., United Kingdom, a specific state in the USA, etc.)?",0.11926605504587157,0.09009009009009009,0.15384615384615385,0.12875536480686695,0.00948930976099538,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_028,PowerPoint,70,80,85,90,Does the crashing behavior persist if you disconnect all external monitors and use only your primary display?,"Does the crashing occur even with a brand new, completely empty presentation that has no content added?","Are you experiencing similar crashing issues with other Microsoft Office applications (e.g., Word, Excel) on your Mac, or is this problem exclusive to PowerPoint?",0.07042253521126761,0.108843537414966,0.1271676300578035,0.11392405063291139,0.04350151542164378,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_029,Bing_Apps,90,95,98,99,"Could you please specify which country or language you are most interested in, as release schedules can vary by region?","Are you referring to the Bing mobile app on iOS or Android, or a different Bing application or service?","Have you already checked your iPhone's system language settings to ensure it's set to French, and have you looked for language options within the Bing app's settings on your device?",0.10619469026548671,0.12903225806451613,0.15151515151515152,0.1875,0.08130530973451329,9,ALEATORIC,EPISTEMIC,EPISTEMIC
msd_030,PowerPoint,80,90,90,95,"Could you please confirm if you are referring to the PowerPoint Status Bar (which shows slide number, zoom, and view options) or the Windows Taskbar at the very bottom of your screen?","If right-clicking the bottom edge doesn't reveal the 'Status Bar' option or checking it doesn't restore the bar, have you noticed any other visual anomalies or missing elements within PowerPoint 2016?","Have you tried closing and reopening PowerPoint, or even restarting your computer, since you noticed the status bar disappeared?",0.17886178861788618,0.1639344262295082,0.1466666666666667,0.12030075187969926,-0.058561036738186925,15,ALEATORIC,EPISTEMIC,EPISTEMIC
msd_031,Skype_iOS,85,90,88,95,Could you confirm you are signed into the exact same Skype account (using your original Skype Name or the Microsoft account it was linked to) that previously held the $20 credit?,"Since the automatic switch to your Microsoft account, have you been able to successfully sign into your original Skype account (the one with the $20 credit) by explicitly using your original Skype Name and its password on any Skype platform (app or web)?","When you try to sign in, do you see an option to sign in specifically with a 'Skype Name' rather than an email or phone number? If so, what happens when you attempt to use your original Skype Name and password?",0.15873015873015875,0.1610738255033557,0.14814814814814814,0.16541353383458648,0.006683375104427736,10,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_032,Bing_Search,65,75,80,90,Does this inconsistent image search behavior persist if you try using Bing Image Search in a private browsing window or a different web browser?,"Are you logged into a Microsoft account when you experience this issue on Bing Image Search, and if so, does logging out change the behavior?",Could you please try logging out of your Microsoft account on Bing.com and then observe if the image search interface remains consistent with the 'old style'?,0.11851851851851851,0.1111111111111111,0.12080536912751678,0.13114754098360654,0.012629022465088027,25,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_033,Word,75,80,85,90,"When you try to open Microsoft Word, does it display any error messages, crash reports, or does nothing happen at all after clicking the icon?","Do other applications within the Office 2011 suite, such as Excel or PowerPoint, also fail to open, or is this issue specific to Microsoft Word?",Have you tried creating a new user account on your MacBook Pro and attempting to open Microsoft Word from that new account to rule out any user profile-specific issues?,0.12698412698412698,0.1476510067114094,0.14084507042253522,0.14184397163120568,0.014859844647078707,15,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_034,Skype_Android,65,75,85,90,"Are you not receiving calls from other Skype users, or are you specifically referring to calls made to your Skype Number from traditional phone lines?",Can you confirm if your Skype Number subscription is currently active and not expired?,Have you been able to log into your Skype account online and confirm the active status of your Skype Number subscription?,0.11267605633802817,0.12738853503184713,0.14012738853503184,0.15384615384615385,0.04117009750812568,25,ALEATORIC,EPISTEMIC,EPISTEMIC
msd_035,Apps_Windows_10,75,80,85,90,Have you tried disabling hardware acceleration in Microsoft Edge to see if the video display issue persists?,"Do you have any browser extensions installed in Microsoft Edge, and if so, have you tried disabling them temporarily to see if the video issue persists?","Does this video playback issue occur on all websites when using Microsoft Edge, or is it specific to certain sites like MSN?",0.1016949152542373,0.12602739726027398,0.09890109890109888,0.11382113821138211,0.012126222957144814,15,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_036,Bing_Search,70,85,85,90,"Could you please confirm the exact date and time you are performing these searches, and if you've reviewed the specific terms and conditions for the 'Thanksgiving 2x' points promotion, including its validity period and any regional restrictions?","Are you performing searches on a desktop computer, a mobile device, or both, and are you using the Bing search engine directly or through another Microsoft product (e.g., Microsoft Edge browser)?","Are you seeing the 'Thanksgiving 2x' promotion advertised directly on the Bing Toolbar itself, or are you seeing it advertised elsewhere (e.g., on the Microsoft Rewards dashboard) and expecting your toolbar searches to qualify?",0.08547008547008546,0.078125,0.08759124087591239,0.07692307692307691,-0.008547008547008544,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_037,Bing,95,85,70,85,"When your parents want to go directly to a website like Amazon, are they typing 'amazon.com' into the browser's address bar (the long bar at the very top of the browser window) or into the search box specifically on the Bing homepage?","When your parents type a full website address like 'amazon.com' into the Bing search box, do they see a distinct 'Go to amazon.com' button or link, or is the first result just a standard blue hyperlink among many others?","When your parents type a website name (e.g., 'amazon.com') into the Bing search box, could you tell me the *exact text* they type and the *exact text* of the very first search result (including its title and the URL shown below it) that appears on the results page?",0.14814814814814814,0.14285714285714285,0.1590909090909091,0.15469613259668508,0.0065479844485369365,-10,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_038,Windows_RT_8.1,75,85,90,95,"Are you still actively receiving and installing daily updates, or are you primarily seeing a general reduction in available disk space?","Have you recently installed any new apps, even small ones, or transferred a significant amount of personal data (photos, videos, documents) to your Surface RT?","Have you checked your 'Downloads' folder, 'Documents' folder, and the Recycle Bin for any large files you might have forgotten about?",0.13592233009708737,0.13559322033898305,0.11965811965811966,0.12389380530973454,-0.012028524787352834,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_039,Bing_Maps,75,80,85,90,"Are you currently signed in to your Microsoft account on Bing Maps, and have you tried signing out and back in?","When you visit Bing Maps, do you see any indication of a signed-in account, such as a profile picture or your name, in the top right corner of the page?",Could you please describe what you see in the top right corner of the Bing Maps webpage when you visit it?,0.10256410256410256,0.1176470588235294,0.16793893129770993,0.16541353383458648,0.06284943127048392,15,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_040,Excel,85,90,95,100,"Should the search for the first non-'NO' value in column AJ always begin from row 1, or from a specific starting row number?","The original code snippet included a call to `CopyDown`. Could you please explain what `CopyDown` is intended to do in this context, as the primary goal seems to be finding a single value for AM1?","Could you confirm the exact range of cells in column AJ that should be searched? For example, should it search the entire column (AJ:AJ), or a specific range like AJ1:AJ100, or from the first data row down to the last non-empty cell?",0.15625,0.11965811965811966,0.09022556390977444,0.09090909090909093,-0.06534090909090907,15,ALEATORIC,ALEATORIC,ALEATORIC
msd_041,PowerPoint,85,95,95,98,"Are you using a specific 'Paste Special' option when bringing the text from Excel into PowerPoint, or just a standard paste (Ctrl+V)?","What version of PowerPoint are you currently using (e.g., PowerPoint 365, 2019, 2016)?","Does this issue only occur when copying text from Excel, or do you experience the same problem when pasting text with line breaks from other sources (e.g., a text editor like Notepad) into PowerPoint tables?",0.19736842105263158,0.14457831325301204,0.17857142857142855,0.17177914110429449,-0.025589279948337096,13,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_042,PowerPoint,75,80,90,95,Did this issue begin after a recent macOS update or any other software installation on your Mac?,"Are other Microsoft Office applications (like Word or Excel) on your Mac experiencing similar issues, or is this problem isolated to PowerPoint?",Have you recently installed any PowerPoint add-ins or third-party tools that integrate with PowerPoint?,0.06666666666666667,0.11764705882352942,0.10869565217391303,0.13186813186813187,0.0652014652014652,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_043,PowerPoint,75,85,90,95,Does the embedded music play correctly when you run the presentation directly from PowerPoint 2016 on your computer *before* exporting it to the memory stick?,"When you attempt to play the presentation from the memory stick, are you opening the .pptx file directly with PowerPoint 2016 installed on another computer, or are you using the 'PowerPoint Viewer' application that is included when you use the 'Package Presentation for CD' option?","When you open the presentation on the computer with PowerPoint 2013, do you see any error messages related to media, or does the music simply not play without any specific notification?",0.13592233009708737,0.19047619047619047,0.15023474178403756,0.1643835616438356,0.028461231546748234,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_044,Windows_8.1,65,70,70,85,Are you able to access the Advanced Startup Options or Safe Mode on your Windows 8.1 laptop?,"When you perform the force shutdown method, does your laptop eventually display the ""Automatic Repair"" screen or any other recovery options?","After performing the three consecutive hard shutdowns, does your laptop show any different behavior or messages upon the next startup, even if it's not the Automatic Repair screen?",0.1372549019607843,0.1352657004830918,0.1308411214953271,0.14814814814814814,0.010893246187363842,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_045,Excel,75,85,85,90,"Does this line or highlight appear in Print Preview, or is it only visible on screen?",Does this issue persist if you open Excel in Safe Mode (hold Ctrl while launching Excel)? This helps determine if add-ins are causing the problem.,Are you able to try opening Excel in Safe Mode to see if the line/highlight still appears?,0.11764705882352941,0.125,0.15267175572519084,0.15584415584415587,0.03819709702062646,15,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_046,Windows_7,65,75,80,95,"When you say 'use my computer at the same time separately,' do you mean you want to log in as a different user and have a completely independent desktop session that doesn't mirror what's shown on the PC's physical screen?","Are you open to solutions that involve running a virtual machine on your Windows 7 PC, or are you strictly looking for a way to create a separate session directly on the main Windows 7 operating system?","Given that Windows 7 doesn't natively support this 'server-like' multi-user access for free, are you open to exploring paid third-party software or more complex setups like virtualization, or is a simple, free solution your primary requirement?",0.10714285714285714,0.09999999999999999,0.12403100775193797,0.1391304347826087,0.03198757763975156,30,ALEATORIC,ALEATORIC,ALEATORIC
msd_047,Skype_Android,75,80,85,95,Have you already explored the in-app settings for sound and display preferences within the Skype app?,"After checking the in-app settings, were you able to find any options related to customizing the main screen layout or sound preferences?","Could you confirm if you've navigated to your profile picture > Settings, and if so, what sub-sections (e.g., 'Notifications', 'Appearance', 'General') are visible to you there?",0.13513513513513514,0.12195121951219512,0.11764705882352941,0.1360544217687075,0.0009192866335723526,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_048,Word,65,75,85,90,"When you say 'a single row is split into multiple columns,' are you referring to using the 'Split Cells' feature on a specific cell within the table, or a different method?","Does this issue occur with all tables you create, or only specific ones? Also, are there any particular table styles or complex formatting applied to the table when this problem arises?","Does this issue occur only when the cells contain specific types of content (e.g., plain text, formatted text, numbers, images, or other objects), or does it happen regardless of what's inside the cell?",0.16494845360824742,0.10328638497652583,0.11538461538461538,0.1773399014778325,0.01239144786958507,25,ALEATORIC,EPISTEMIC,EPISTEMIC
msd_049,Skype_iOS,75,85,90,95,"Are you certain you are signed into the correct Skype account on your iPhone, and have you checked if your contacts are visible when you log into Skype on a different device or via the web?",Have you checked your iPhone's 'Do Not Disturb' settings or any focus modes to ensure they are not preventing incoming Skype calls from alerting you?,"Within the Skype app settings on your iPhone, have you checked if 'Allow calls from anyone' or similar privacy settings for incoming calls are enabled?",0.13333333333333333,0.12749003984063745,0.13934426229508198,0.13740458015267176,0.004071246819338431,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_050,PowerPoint,85,85,80,95,"Are you trying to reset the slide's animations during a live presentation, or while you are editing the slide in design view?","Do you want the slide to automatically revert to its initial visual state after animations complete, or are you looking for a way to manually reset the animations for replay?","When you say 'go back to its original starting point,' do you mean you want the animated objects to visually return to their initial positions on the slide, or do you want the animation sequence to be ready to play from the beginning again?",0.12307692307692308,0.17567567567567566,0.1276595744680851,0.13872832369942195,0.015651400622498868,10,EPISTEMIC,ALEATORIC,ALEATORIC
msd_051,Games_Windows_10,70,75,70,85,"Does the vibration feature work in any other games or applications on your Windows 10 PC, or is this issue specific to Minecraft: Windows 10 Edition?","Are you using a wired Xbox 360 controller, or a wireless one with a Microsoft Xbox 360 Wireless Gaming Receiver for Windows?","How does your Xbox 360 controller connect to your PC? Does it plug directly into a USB port with a cable, or does it connect wirelessly using a separate USB adapter?",0.07947019867549669,0.07947019867549669,0.07028753993610223,0.08484848484848485,0.0053782861729881615,15,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_052,Bing_Search,75,85,90,95,"Does this 'BT ad' appear only when you use a specific browser or app, or does it show up regardless of what you're trying to do online?","Does this ad appear immediately when you try to connect to the internet, or only after you've opened an app like a web browser?","When the ad appears, does it cover the entire screen, or does it show up within a specific app you're trying to use, like an email app or a search app?",0.0851063829787234,0.0641025641025641,0.1019108280254777,0.09032258064516129,0.005216197666437883,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_053,Windows_10,85,90,80,95,"Are you connected to a corporate or school network that requires a proxy server, or are you on a home network?","Are you using a personal computer at home, or is this a device provided by your employer or educational institution?","Who typically manages the settings and software on this computer – yourself, or an IT department/administrator?",0.12738853503184713,0.1234567901234568,0.125,0.11494252873563218,-0.012446006296214951,10,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_054,Skype_Windows_Desktop,65,75,80,90,Could you please provide the exact error message or code you see when Skype fails to start after the update?,Are you running any third-party antivirus or firewall software that might be blocking Skype from launching after the update?,Have you checked the Windows Event Viewer for any error logs related to Skype.exe around the time the application error occurs? This might provide more specific details.,0.16666666666666666,0.13333333333333333,0.1496598639455782,0.09271523178807946,-0.0739514348785872,25,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_055,Excel,90,95,95,100,"Could you confirm the exact sheet name and range where your master equipment data (Lift #, Serial #, Manufacturer, Model #) is stored, and if the dropdown list in Sheet 1, Column A, directly references the 'Lift #' column from that master data sheet?","How is the dropdown list in Sheet 1, Column A, currently populated? Is it a static list, or does it dynamically update to reflect new 'Lift #' entries added to your master data on Sheet 2?","Could you describe the steps you took to create the dropdown list in Sheet 1, Column A? For example, did you go to Data > Data Validation, and what did you enter in the 'Source' field?",0.44067796610169485,0.2926829268292683,0.12738853503184713,0.2383419689119171,-0.20233599718977774,10,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_056,PowerPoint,80,85,85,90,Could you confirm if you've customized the ribbon in PowerPoint 2016 on the computer where the Text Highlight Tool is missing?,"After checking the 'Customize the Ribbon' options, did you find 'Text Highlight Color' listed under 'All Commands'?",Could you please perform the 'Customize the Ribbon' check as described and let me know if 'Text Highlight Color' appears in the 'All Commands' list?,0.0808080808080808,0.10526315789473685,0.1372549019607843,0.0821917808219178,0.0013837000138370026,10,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_057,Word,75,85,90,95,Does this thin border issue affect other non-Microsoft Office applications or only Outlook and Excel?,"Has this thin border issue always been present in your Office programs, or did it start recently after a specific update or software installation?",Have you checked for and installed the latest display/graphics drivers specifically compatible with Windows 7 since the upgrade?,0.1285714285714286,0.1081081081081081,0.11688311688311688,0.08641975308641975,-0.04215167548500884,20,EPISTEMIC,EPISTEMIC,EPISTEMIC
