id,category,preliminary_confidence,updated_confidence,conf_delta,clarifying_question,cq_type,rouge_prelim,rouge_updated,rouge_delta
msd_014,Word,95,100,5,"Are you encountering any issues or inconsistencies when using the method you've described, or are you primarily seeking confirmation that this is the standard approach?",ALEATORIC,0.2074074074074074,0.22900763358778622,0.021600226180378823
msd_015,Apps_Windows_10,75,90,15,"Does the high memory usage begin immediately when you open the Calculator app, or does it gradually increase over time while the app is running, especially in the background?",EPISTEMIC,0.0425531914893617,0.034482758620689655,-0.008070432868672046
msd_016,Bing_Search,85,90,5,"Does clicking on any other web link (e.g., in an email or document) successfully open a web browser?",EPISTEMIC,0.15999999999999998,0.22641509433962265,0.06641509433962267
msd_017,Bing_Search,75,85,10,"Which web browser are you using (e.g., Microsoft Edge, Chrome, Firefox) and does this issue occur in other browsers as well?",EPISTEMIC,0.15053763440860216,0.12844036697247707,-0.022097267436125084
msd_018,Windows_10,65,95,30,"When you right-click an icon and 'Properties' cannot be selected, is the 'Properties' option greyed out in the context menu, or does clicking it simply do nothing?",EPISTEMIC,0.05970149253731343,0.11904761904761904,0.05934612651030561
msd_019,Bing,75,90,15,Does the issue with Bing Video search persist if you try accessing it from a different web browser or in a private browsing window in Firefox?,EPISTEMIC,0.09356725146198831,0.1564245810055866,0.06285732954359828
msd_020,PowerPoint,85,90,5,Have you checked PowerPoint's preferences or account settings to see if OneDrive is listed as a connected service or default save location?,EPISTEMIC,0.15267175572519084,0.140625,-0.012046755725190844
msd_021,PowerPoint,90,95,5,"Are you open to using Camtasia Studio 7 to record your screen and webcam, or do you specifically need to achieve this effect directly within PowerPoint 2010?",ALEATORIC,0.18333333333333332,0.18965517241379312,0.006321839080459801
msd_022,Excel,90,95,5,"For the mean, are you looking to highlight only cells with the exact calculated average, or values that are closest to it if an exact match isn't present?",ALEATORIC,0.1871345029239766,0.22660098522167485,0.03946648229769825
msd_023,PowerPoint,70,75,5,"Is the PowerPoint file stored locally on your computer, on a network drive, or in a cloud storage service like OneDrive or SharePoint?",EPISTEMIC,0.13924050632911392,0.12244897959183673,-0.016791526737277185
msd_024,Windows_8.1,80,90,10,Could you please tell me what graphics card (GPU) your computer has and if its drivers are up to date?,EPISTEMIC,0.15384615384615383,0.15384615384615383,0.0
msd_025,Bing,85,90,5,"Are you using the official Bing Wallpaper application, Windows Spotlight, or another method to set the Bing Daily Photo as your background?",EPISTEMIC,0.15384615384615388,0.1346153846153846,-0.019230769230769273
msd_026,Skype_Windows_10,95,95,0,"Are you currently experiencing issues receiving calls on Skype, or are you simply asking about the general functionality of calling via email?",ALEATORIC,0.15517241379310345,0.15151515151515152,-0.0036572622779519337
msd_027,Bing_Maps,85,90,5,"How are you currently integrating your SQL data with Bing Maps (e.g., specific API, SDK, or a third-party tool)?",EPISTEMIC,0.11764705882352942,0.11818181818181818,0.0005347593582887555
msd_028,PowerPoint,65,85,20,Does the crashing behavior persist if you disconnect your external monitors and use PowerPoint only on your MacBook's built-in display?,EPISTEMIC,0.061538461538461535,0.09090909090909093,0.02937062937062939
msd_029,Bing_Apps,90,90,0,Are you looking for the Bing app to be available in a specific country or language?,ALEATORIC,0.16161616161616163,0.13793103448275862,-0.02368512713340301
msd_030,PowerPoint,85,95,10,"Are you referring to the PowerPoint 'Status Bar' that typically shows the slide number, zoom slider, and view options at the very bottom of the PowerPoint window?",ALEATORIC,0.11666666666666667,0.1487603305785124,0.03209366391184573
msd_031,Skype_iOS,90,90,0,Could you please confirm the exact Skype Name or Microsoft account email you are currently logged in with on the new Skype app?,EPISTEMIC,0.2385321100917431,0.22058823529411767,-0.017943874797625436
msd_032,Bing_Search,75,90,15,"Have you tried clearing your browser's cache and cookies in Firefox, or does this inconsistent behavior also occur if you try Bing Image Search in a different web browser?",EPISTEMIC,0.17241379310344826,0.11851851851851851,-0.05389527458492975
msd_033,Word,75,90,15,"When you try to open Word, does it display any error messages, crash reports, or does nothing happen at all?",EPISTEMIC,0.13008130081300812,0.09917355371900828,-0.030907747093999835
msd_034,Skype_Android,75,90,15,Are you actively logged into the Skype app on your Android device and is your device connected to the internet when these calls are being made?,EPISTEMIC,0.11940298507462688,0.15873015873015875,0.03932717365553187
msd_035,Apps_Windows_10,85,85,0,"Does this video playback issue occur on other websites (e.g., YouTube, Netflix) when using Microsoft Edge, or is it specific to MSN and similar news sites?",EPISTEMIC,0.05747126436781609,0.07262569832402234,0.015154433956206248
msd_036,Bing_Search,80,95,15,Have you confirmed that the Thanksgiving 2x points offer has been explicitly activated on your Microsoft Rewards dashboard?,EPISTEMIC,0.08988764044943819,0.08163265306122448,-0.008254987388213703
msd_037,Bing,95,95,0,"Are your parents typing 'amazon.com' into the address bar of their web browser, or specifically into the search box on the Bing homepage?",EPISTEMIC,0.15894039735099338,0.14193548387096774,-0.01700491348002564
msd_038,Windows_RT_8.1,90,90,0,Have you already tried running Disk Cleanup and specifically selected the 'Clean up system files' option to remove old Windows Update files?,EPISTEMIC,0.13999999999999999,0.14678899082568808,0.006788990825688096
msd_039,Bing_Maps,85,95,10,Are you currently signed into your Microsoft account when you are using Bing Maps?,EPISTEMIC,0.1607142857142857,0.20689655172413796,0.04618226600985226
msd_040,Excel,90,95,5,"From which row should the search for the first non-'NO' value in column AJ begin, or should it always start from row 1?",ALEATORIC,0.1217391304347826,0.13333333333333333,0.011594202898550732
msd_041,PowerPoint,90,95,5,"Are the line breaks within your Excel cells created using Alt+Enter, or are they simply text wrapping within a single cell?",EPISTEMIC,0.175,0.19428571428571428,0.019285714285714295
msd_042,PowerPoint,70,90,20,Does this issue persist if you try to open PowerPoint in Safe Mode or after creating a new user profile on your Mac?,EPISTEMIC,0.05714285714285715,0.051948051948051945,-0.0051948051948052035
msd_043,PowerPoint,85,90,5,"Did you use the 'Package Presentation for CD' feature in PowerPoint 2016, or did you manually copy the .pptx file and the .mp3 files to the memory stick?",EPISTEMIC,0.1,0.17061611374407584,0.07061611374407584
msd_044,Windows_8.1,75,85,10,Have you tried pressing Ctrl+Alt+Del at the login screen to see if it brings up a different login prompt or options?,EPISTEMIC,0.168141592920354,0.1319796954314721,-0.036161897488881906
msd_045,Excel,75,80,5,"Could you describe the 'line, highlight, border' more precisely? For example, is it a thin line, a colored highlight, or a full cell border, and does it appear on the active cell, row, or column?",ALEATORIC,0.1217391304347826,0.18867924528301888,0.06694011484823628
msd_046,Windows_7,85,95,10,"Are you looking to have two separate users actively using the computer simultaneously, one locally and one remotely from your phone, without interfering with each other's work?",ALEATORIC,0.15730337078651688,0.11764705882352941,-0.03965631196298747
msd_047,Skype_Android,65,95,30,Have you explored the in-app settings for options to customize sounds and the main screen layout?,EPISTEMIC,0.21476510067114093,0.09160305343511452,-0.12316204723602642
msd_048,Word,65,85,20,"Could you describe the exact steps you take to 'split a single row into multiple columns' within your table, including which cells you select before performing the action?",EPISTEMIC,0.17297297297297295,0.12371134020618557,-0.04926163276678738
msd_049,Skype_iOS,70,88,18,Are your Skype contacts visible when you log into Skype on a different device or via the web browser at web.skype.com?,EPISTEMIC,0.12403100775193797,0.1370967741935484,0.013065766441610435
msd_050,PowerPoint,90,95,5,Are you looking for a keyboard shortcut or a specific button within the slideshow view to reset the current slide's animations?,ALEATORIC,0.180327868852459,0.15172413793103448,-0.028603730921424514
msd_051,Games_Windows_10,75,90,15,Does the vibration feature work in any other games or controller test applications on your Windows 10 PC?,EPISTEMIC,0.05614035087719298,0.08783783783783783,0.03169748696064485
msd_052,Bing_Search,65,85,20,"Does this 'BT ad' only appear when you're using your web browser, or does it also pop up when you're trying to use other apps that require internet access?",EPISTEMIC,0.09655172413793105,0.13333333333333336,0.03678160919540231
msd_053,Windows_10,75,90,15,"Are you intentionally using a proxy server on your network, or is your computer connected directly to the internet?",EPISTEMIC,0.11428571428571428,0.0958904109589041,-0.018395303326810178
msd_054,Skype_Windows_Desktop,70,90,20,Could you please provide the exact error message you see when Skype fails to start?,EPISTEMIC,0.14754098360655735,0.16923076923076924,0.021689785624211894
msd_055,Excel,90,95,5,"What specific error or unexpected result did you get when you tried using VLOOKUP, and could you provide the exact formula you used?",EPISTEMIC,0.3950617283950617,0.33513513513513515,-0.05992659325992655
msd_056,PowerPoint,75,100,25,Could you please provide the exact version and build number of PowerPoint 2016 on both your desktop and laptop? You can find this by going to File > Account > About PowerPoint.,EPISTEMIC,0.05128205128205128,0.1758241758241758,0.12454212454212453
msd_057,Word,85,90,5,"Have you recently adjusted your display scaling settings (e.g., to 125%, 150%, or higher) or are you using a high-resolution monitor?",EPISTEMIC,0.08450704225352113,0.10062893081761005,0.01612188856408893
msd_058,Apps_Windows_10,85,95,10,"Are you looking for a setting that applies to all newly created tabs, or specifically for links that open in a new tab?",ALEATORIC,0.16216216216216214,0.14965986394557823,-0.012502298216583912
msd_059,Excel,75,95,20,"On each individual unit worksheet (e.g., 'Box A'), is there a specific, consistent cell (e.g., A1, B5, or a named range) where you want the total quantity from your new summary sheet to be linked?",ALEATORIC,0.16304347826086954,0.12658227848101267,-0.03646119977985687
msd_060,Skype_Android,75,80,5,"Does the microphone work correctly in other applications on your Samsung Galaxy S6, such as the default voice recorder or during a regular phone call?",EPISTEMIC,0.07142857142857144,0.09433962264150943,0.02291105121293799
msd_061,PowerPoint,90,95,5,"Are you trying to convert the JPG into editable vector shapes (where you can modify individual lines and curves), or are you looking to apply artistic effects to make it appear more like a drawing?",ALEATORIC,0.2535211267605634,0.2027027027027027,-0.05081842405786069
msd_062,Skype_iOS,65,85,20,"When you say 'not getting any voice,' do you mean you cannot hear the person you are calling, they cannot hear you, or neither of you can hear each other?",ALEATORIC,0.0975609756097561,0.12598425196850394,0.028423276358747834
msd_063,Skype_iOS,80,90,10,"Does your microphone work correctly in other applications on your iPhone 6, such as voice memos or video calls?",EPISTEMIC,0.1234567901234568,0.09876543209876543,-0.02469135802469137
msd_064,Windows_7,65,85,20,"Does iTunes display any error messages or codes before it stops responding, or does it simply hang indefinitely after clicking the icon?",EPISTEMIC,0.08264462809917354,0.1217391304347826,0.03909450233560906
msd_065,Bing_Maps,95,90,-5,Have you already explored the 'Feedback' or 'Report a problem' options available directly within the Bing Maps interface?,EPISTEMIC,0.1515151515151515,0.16058394160583941,0.009068790090687923
msd_066,Excel,85,80,-5,"What version of Excel are you currently using (e.g., Excel 365, Excel 2019, Excel 2016)?",EPISTEMIC,0.09876543209876543,0.09411764705882353,-0.0046477850399418985
msd_067,Bing,90,95,5,"Are you trying to submit the URLs of specific pages on your website (e.g., a blog post, a product page, or a category page), or are you asking about submitting a sitemap?",ALEATORIC,0.15517241379310345,0.16666666666666666,0.011494252873563204
msd_068,Windows_8.1,75,95,20,Have you tried performing a System Restore to a point before you deleted the Temp and Start Menu folders?,EPISTEMIC,0.0761904761904762,0.10559006211180125,0.02939958592132505
msd_069,Bing_Apps,70,85,15,Could you describe the exact steps you take to add a source to Bing News in Windows 8?,EPISTEMIC,0.11009174311926605,0.1473684210526316,0.037276677933365546
msd_070,Excel,95,95,0,Is the Excel application window currently maximized?,EPISTEMIC,0.13008130081300812,0.15873015873015872,0.028648857917150605
msd_071,Windows_10,95,95,0,"Are you referring to Adobe Flash Player used within Microsoft Edge/Internet Explorer, or a separate installation of Flash Player for another web browser like Chrome or Firefox?",EPISTEMIC,0.11814345991561181,0.11067193675889328,-0.007471523156718535
msd_072,Windows_RT_8.1,65,85,20,"Do the blank tiles show any loading indicators, error messages, or are they just completely empty where stock information should be?",EPISTEMIC,0.08823529411764705,0.136986301369863,0.048751007252215955
msd_073,Word,90,95,5,"When you insert the DOB field into your Word document, are you inserting it directly or using any specific field codes?",EPISTEMIC,0.4222222222222222,0.41071428571428575,-0.011507936507936467
msd_074,Outlook_Email,70,90,20,Is this a personal Outlook.com account or a work/school account managed by an organization?,EPISTEMIC,0.06037735849056604,0.09454545454545454,0.034168096054888505
msd_075,Windows_RT_8.1,75,95,20,"Do other apps or system notifications produce sound on your Surface 2, or is the issue specific to email notifications?",EPISTEMIC,0.1116751269035533,0.09569377990430622,-0.01598134699924708
msd_076,Bing_Apps,75,80,5,"Does the issue persist if you manually set a specific city as your primary location within the app, rather than relying on automatic location detection?",EPISTEMIC,0.16666666666666666,0.10666666666666666,-0.06
msd_077,PowerPoint,75,90,15,Is the existing PowerPoint instance running under the same user account as the application attempting to create the object?,EPISTEMIC,0.07407407407407407,0.109375,0.03530092592592593
msd_078,Apps_Windows_10,85,80,-5,Could you please tell me the name of the specific app that is displaying this error message?,EPISTEMIC,0.12149532710280372,0.12844036697247707,0.006945039869673347
msd_079,Bing_Maps,90,95,5,"What specific type of measurement are you trying to perform (e.g., distance, area, elevation)?",ALEATORIC,0.21126760563380279,0.16216216216216217,-0.049105443471640614
msd_080,Bing,90,90,0,"What application are you using to open these downloaded documents, and what are their file extensions (e.g., .pdf, .docx)?",EPISTEMIC,0.13793103448275862,0.11518324607329843,-0.022747788409460193
msd_081,Windows_7,85,90,5,Is your Windows 7 product key an OEM key (pre-installed by the computer manufacturer) or a retail key (purchased separately)?,EPISTEMIC,0.1784386617100372,0.20817843866171,0.02973977695167282
msd_082,PowerPoint,75,95,20,"Are the custom audio instructions embedded directly into the PowerPoint file, or are they linked from an external file?",EPISTEMIC,0.1443298969072165,0.1487603305785124,0.004430433671295891
msd_083,PowerPoint,90,95,5,"When you observe that both 'Duplicate' and 'Copy+Paste' place objects in the 'same place,' are you referring to duplicating individual objects or entire slides?",ALEATORIC,0.16326530612244897,0.12698412698412698,-0.03628117913832199
msd_084,Bing_Apps,65,90,25,"Has your girlfriend already created a Bing Rewards account and started accumulating points, or has she only installed the app?",EPISTEMIC,0.13740458015267173,0.11428571428571428,-0.023118865866957453
msd_085,Apps_Windows_10,70,90,20,"After uninstalling update KB4034674, did Microsoft Edge start working again, or did the issue persist?",EPISTEMIC,0.059259259259259255,0.16666666666666669,0.10740740740740742
msd_086,Skype_iOS,75,90,15,"When you visited account.microsoft.com/family, did you confirm that your account is not listed as a child in any family group, or that you are the organizer of your own family group?",EPISTEMIC,0.17085427135678394,0.13333333333333333,-0.037520938023450606
msd_087,Word,80,95,15,"What 'Reference type' are you selecting in the 'Insert Cross-reference' window (e.g., Numbered item, Heading, Bookmark)?",EPISTEMIC,0.03457446808510639,0.03758389261744967,0.0030094245323432772
msd_088,Skype_Mac,75,95,20,"When dialing, are you including the full international dialing code (e.g., +44 for UK, +33 for France) and omitting any leading zero from the local number?",EPISTEMIC,0.07407407407407407,0.06593406593406594,-0.008140008140008134
msd_089,Excel,75,90,15,"When the COUNTIF formula 'will not work' for the last 20% of your data, what specific value or error does it display (e.g., 0, #VALUE!, #N/A)?",EPISTEMIC,0.16279069767441862,0.16455696202531644,0.0017662643508978282
msd_090,Apps_Windows_10,85,95,10,Could you please tell me the exact name and version of the 'old Digital suite software' you are currently using?,EPISTEMIC,0.13533834586466165,0.1076923076923077,-0.02764603817235395
msd_091,Bing_Apps,90,95,5,Could you tell me which specific Bing app or website you are using to manage your favorite cities?,EPISTEMIC,0.1986754966887417,0.2602739726027397,0.061598475913998
msd_092,Excel,75,90,15,"Does this issue occur in all Excel workbooks, including newly created ones, or only in specific existing spreadsheets?",EPISTEMIC,0.07594936708860758,0.09638554216867469,0.020436175080067107
msd_093,Excel,85,85,0,What specific error message or prompt do you receive when you try to refresh the data connection in Excel?,EPISTEMIC,0.12080536912751677,0.14285714285714285,0.02205177372962608
msd_094,PowerPoint,85,95,10,Does the file size also increase significantly if you manually adjust the brightness and temperature of a few pictures using the Picture Format pane and then save the presentation?,EPISTEMIC,0.1176470588235294,0.10869565217391305,-0.008951406649616342
msd_095,PowerPoint,75,90,15,"Does this issue occur when trying to insert a hyperlink in a brand new, blank PowerPoint presentation, or only with existing files?",EPISTEMIC,0.1978021978021978,0.23300970873786403,0.035207510935666236
msd_096,PowerPoint,75,85,10,"Does this issue occur with other PowerPoint presentations, or only this specific 91-slide presentation?",EPISTEMIC,0.15827338129496404,0.11510791366906475,-0.04316546762589929
msd_097,Skype_Windows_10,90,95,5,"Are you currently logging into your previous Skype version with a Microsoft account (e.g., Outlook.com, Hotmail.com) or a legacy Skype Name?",EPISTEMIC,0.16853932584269662,0.16042780748663102,-0.008111518356065606
msd_098,Outlook_Email,65,80,15,"Were you previously able to use this exact Outlook email address on USAA and Nextdoor without issues, or have you recently changed your email address or its domain?",EPISTEMIC,0.08759124087591241,0.09523809523809525,0.007646854362182834
msd_099,Excel,75,90,15,"When you say 'same meaning words,' are you looking for near-exact matches with minor variations (like singular/plural or slight rephrasing), or do you need to identify titles that convey the same general topic even if the wording is significantly different?",ALEATORIC,0.041666666666666664,0.05714285714285714,0.015476190476190477
msd_100,Bing_Maps,80,90,10,"Are you encountering this issue when searching directly on the Bing Maps website, or when using a Bing Maps API within your company's application?",EPISTEMIC,0.1568627450980392,0.09174311926605504,-0.06511962583198418
